delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps1,ps-1
5.2,ps1,ps-1
5.3,ps2,ps-2
5.4,ps2,ps-2
5.5,ps3,ps-3
5.6,ps3,ps-3
5.7,ps4,ps-4
5.8,ps4,ps-4
5.9,ps5,ps-5
6.0,ps5,ps-5
6.1,ps6,ps-6
6.2,ps6,ps-6
6.3,ps7,ps-7
6.4,ps7,ps-7
6.5,ps8,ps-8
6.6,ps8,ps-8
6.7,ps9,ps-9
6.8,ps9,ps-9
6.9,ps10,ps-10
7.0,ps10,ps-10
7.1,ps11,ps-11
7.2,ps11,ps-11
7.3,ps12,ps-12
7.4,ps12,ps-12
7.5,ps13,ps-13
7.6,ps13,ps-13
7.7,ps14,ps-14
7.8,ps14,ps-14
7.9,ps15,ps-15
8.0,ps15,ps-15
8.1,ps16,ps-16
8.2,ps16,ps-16
8.3,ps17,ps-17
8.4,ps17,ps-17
8.5,ps18,ps-18
8.6,ps18,ps-18
8.7,ps19,ps-19
8.8,ps19,ps-19
8.9,ps20,ps-20
9.0,ps20,ps-20
9.1,ps21,ps-21
9.2,ps21,ps-21
9.3,ps22,ps-22
9.4,ps22,ps-22
9.5,ps23,ps-23
9.6,ps23,ps-23
9.7,ps24,ps-24
9.8,ps24,ps-24
9.9,ps25,ps-25
10.0,ps25,ps-25
10.1,ps25,ps-25
10.2,ps26,ps-26
10.3,ps26,ps-26
10.4,ps27,ps-27
10.5,ps27,ps-27
10.6,ps28,ps-28
10.7,ps28,ps-28
10.8,ps29,ps-29
10.9,ps29,ps-29
11.0,ps29,ps-29
11.1,ps30,ps-30
11.2,ps30,ps-30
11.3,ps31,ps-31
11.4,ps31,ps-31
11.5,ps31,ps-31
11.6,ps32,ps-32
11.7,ps32,ps-32
11.8,ps33,ps-33
11.9,ps33,ps-33
12.0,ps33,ps-33
12.1,ps34,ps-34
12.2,ps34,ps-34
12.3,ps35,ps-35
12.4,ps35,ps-35
12.5,ps35,ps-35
12.6,ps36,ps-36
12.7,ps36,ps-36
12.8,ps36,ps-36
12.9,ps37,ps-37
13.0,ps37,ps-37
13.1,ps38,ps-38
13.2,ps38,ps-38
13.3,ps38,ps-38
13.4,ps39,ps-39
13.5,ps39,ps-39
13.6,ps39,ps-39
13.7,ps40,ps-40
13.8,ps40,ps-40
13.9,ps40,ps-40
14.0,ps40,ps-40
14.1,ps41,ps-41
14.2,ps41,ps-41
14.3,ps41,ps-41
14.4,ps42,ps-42
14.5,ps42,ps-42
