delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps1,ps-1
5.2,ps2,ps-2
5.3,ps3,ps-3
5.4,ps4,ps-4
5.5,ps5,ps-5
5.6,ps6,ps-6
5.7,ps7,ps-7
5.8,ps8,ps-8
5.9,ps9,ps-9
6.0,ps10,ps-10
6.1,ps11,ps-11
6.2,ps13,ps-13
6.3,ps14,ps-14
6.4,ps15,ps-15
6.5,ps16,ps-16
6.6,ps17,ps-17
6.7,ps18,ps-18
6.8,ps19,ps-19
6.9,ps20,ps-20
7.0,ps21,ps-21
7.1,ps22,ps-22
7.2,ps23,ps-23
7.3,ps24,ps-24
7.4,ps25,ps-25
7.5,ps26,ps-26
7.6,ps27,ps-27
7.7,ps28,ps-28
7.8,ps29,ps-29
7.9,ps30,ps-30
8.0,ps31,ps-31
8.1,ps32,ps-32
8.2,ps33,ps-33
8.3,ps34,ps-34
8.4,ps35,ps-35
8.5,ps36,ps-36
8.6,ps37,ps-37
8.7,ps38,ps-38
8.8,ps39,ps-39
8.9,ps40,ps-40
9.0,ps41,ps-41
9.1,ps42,ps-42
9.2,ps43,ps-43
9.3,ps44,ps-44
9.4,ps44,ps-44
9.5,ps45,ps-45
9.6,ps46,ps-46
9.7,ps47,ps-47
9.8,ps48,ps-48
9.9,ps49,ps-49
10.0,ps50,ps-50
10.1,ps51,ps-51
10.2,ps52,ps-52
10.3,ps53,ps-53
10.4,ps54,ps-54
10.5,ps54,ps-54
10.6,ps55,ps-55
10.7,ps56,ps-56
10.8,ps57,ps-57
10.9,ps58,ps-58
11.0,ps59,ps-59
11.1,ps60,ps-60
11.2,ps60,ps-60
11.3,ps61,ps-61
11.4,ps62,ps-62
11.5,ps63,ps-63
11.6,ps64,ps-64
11.7,ps65,ps-65
11.8,ps65,ps-65
11.9,ps66,ps-66
12.0,ps67,ps-67
12.1,ps68,ps-68
12.2,ps68,ps-68
12.3,ps69,ps-69
12.4,ps70,ps-70
12.5,ps71,ps-71
12.6,ps71,ps-71
12.7,ps72,ps-72
12.8,ps73,ps-73
12.9,ps74,ps-74
13.0,ps74,ps-74
13.1,ps75,ps-75
13.2,ps76,ps-76
13.3,ps76,ps-76
13.4,ps77,ps-77
13.5,ps78,ps-78
13.6,ps78,ps-78
13.7,ps79,ps-79
13.8,ps80,ps-80
13.9,ps80,ps-80
14.0,ps81,ps-81
14.1,ps82,ps-82
14.2,ps82,ps-82
14.3,ps83,ps-83
14.4,ps83,ps-83
14.5,ps84,ps-84
