delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps1,ps-1
5.2,ps2,ps-2
5.3,ps3,ps-3
5.4,ps4,ps-4
5.5,ps5,ps-5
5.6,ps6,ps-6
5.7,ps7,ps-7
5.8,ps8,ps-8
5.9,ps9,ps-9
6.0,ps10,ps-10
6.1,ps11,ps-11
6.2,ps12,ps-12
6.3,ps13,ps-13
6.4,ps14,ps-14
6.5,ps15,ps-15
6.6,ps16,ps-16
6.7,ps17,ps-17
6.8,ps18,ps-18
6.9,ps19,ps-19
7.0,ps20,ps-20
7.1,ps21,ps-21
7.2,ps22,ps-22
7.3,ps23,ps-23
7.4,ps24,ps-24
7.5,ps25,ps-25
7.6,ps26,ps-26
7.7,ps27,ps-27
7.8,ps28,ps-28
7.9,ps29,ps-29
8.0,ps29,ps-29
8.1,ps30,ps-30
8.2,ps31,ps-31
8.3,ps32,ps-32
8.4,ps33,ps-33
8.5,ps33,ps-33
8.6,ps34,ps-34
8.7,ps35,ps-35
8.8,ps36,ps-36
8.9,ps36,ps-36
9.0,ps37,ps-37
9.1,ps38,ps-38
9.2,ps39,ps-39
9.3,ps39,ps-39
9.4,ps40,ps-40
9.5,ps40,ps-40
9.6,ps41,ps-41
9.7,ps42,ps-42
9.8,ps42,ps-42
9.9,ps43,ps-43
10.0,ps43,ps-43
10.1,ps44,ps-44
10.2,ps44,ps-44
10.3,ps45,ps-45
10.4,ps45,ps-45
10.5,ps46,ps-46
10.6,ps46,ps-46
10.7,ps46,ps-46
10.8,ps47,ps-47
10.9,ps47,ps-47
11.0,ps48,ps-48
11.1,ps48,ps-48
11.2,ps48,ps-48
11.3,ps48,ps-48
11.4,ps49,ps-49
11.5,ps49,ps-49
11.6,ps49,ps-49
11.7,ps49,ps-49
11.8,ps49,ps-49
11.9,ps50,ps-50
12.0,ps50,ps-50
12.1,ps50,ps-50
12.2,ps50,ps-50
12.3,ps50,ps-50
12.4,ps50,ps-50
12.5,ps50,ps-50
12.6,ps50,ps-50
12.7,ps50,ps-50
12.8,ps50,ps-50
12.9,ps50,ps-50
13.0,ps50,ps-50
13.1,ps50,ps-50
13.2,ps49,ps-49
13.3,ps49,ps-49
13.4,ps49,ps-49
13.5,ps49,ps-49
13.6,ps49,ps-49
13.7,ps48,ps-48
13.8,ps48,ps-48
13.9,ps48,ps-48
14.0,ps48,ps-48
14.1,ps47,ps-47
14.2,ps47,ps-47
14.3,ps46,ps-46
14.4,ps46,ps-46
14.5,ps46,ps-46
